City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pacifica,US,99.23,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
2,Castro,BR,55.94,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
3,Ayan,RU,43.12,overcast clouds,56.45,138.1667,Gostinitsa
4,San Patricio,US,101.12,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
5,San Quintin,MX,73.15,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
6,Husavik,IS,42.57,overcast clouds,66.0449,-17.3389,Bjarnabúð
7,Sola,VU,81.27,few clouds,-13.8833,167.55,Leumerus Bungalows
8,Nome,US,59.07,clear sky,64.5011,-165.4064,Dredge 7 Inn
10,Aklavik,CA,49.89,overcast clouds,68.2191,-135.0107,Aklavik Inn
11,Khatanga,RU,39.97,overcast clouds,71.9667,102.5,"""Khatanga"""
12,Bangangte,CM,61.02,light rain,5.1409,10.5198,Hôtel Cristal Foua Ndigong
13,Tarauaca,BR,75.15,light rain,-8.1614,-70.7656,Flat Temporada
14,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
15,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Norman Wells,CA,61.72,overcast clouds,65.282,-126.8329,Heritage Hotel
17,Paysandu,UY,48.6,clear sky,-32.3214,-58.0756,Gran Hotel Paysandú
18,Hobart,AU,44.26,shower rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
19,Arraial Do Cabo,BR,73.26,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
20,Busselton,AU,63.84,light rain,-33.65,115.3333,Observatory Guest House
22,Atuona,PF,77.61,few clouds,-9.8,-139.0333,Villa Enata
23,Soller,ES,74.86,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
24,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
25,Rikitea,PF,75.43,overcast clouds,-23.1203,-134.9692,People ThankYou
26,Kruisfontein,ZA,59.83,clear sky,-34.0033,24.7314,Oyster Bay House Rental
27,Kloulklubed,PW,80.28,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
28,Deputatskiy,RU,50.58,scattered clouds,69.3,139.9,Baza Otdykha
31,Morondava,MG,69.1,clear sky,-20.2833,44.2833,La Case Bambou
32,La Romana,DO,89.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
33,Ushuaia,AR,46.06,few clouds,-54.8,-68.3,Albatross Hotel
34,Brandon,US,84.85,overcast clouds,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
35,Lisbon,PT,74.14,few clouds,38.7167,-9.1333,Internacional Design Hotel
36,Bengkulu,ID,74.19,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
37,Rawson,AR,46.54,few clouds,-43.3002,-65.1023,Hosteria Sampedro
38,Chukhloma,RU,51.42,few clouds,58.7525,42.6825,Berezka
39,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
40,Balingasay,PH,81.86,overcast clouds,16.3573,119.8564,Rock Garden Resort
41,Sandwick,GB,53.42,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
42,Rawah,IQ,84.29,clear sky,34.4816,41.9093,بيت سميع
43,Mount Gambier,AU,51.4,overcast clouds,-37.8333,140.7667,The Commodore
44,Zambrano,CO,89.26,overcast clouds,9.7472,-74.8153,Hotel Doña Lesbia
45,Mazamitla,MX,69.49,overcast clouds,19.9167,-103.0333,Monteverde
46,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
47,Clyde River,CA,35.13,broken clouds,70.4692,-68.5914,Qamaq Hotel
48,Los Llanos De Aridane,ES,68.13,clear sky,28.6585,-17.9182,Valle Aridane
49,Geraldton,AU,63.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
50,Minab,IR,88.63,clear sky,27.1467,57.0801,Bam campground
51,Santa Rosa,PH,82.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
52,Puerto Ayora,EC,78.76,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Portland,US,66.61,moderate rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
57,Bredasdorp,ZA,58.57,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
58,Saint Anthony,US,80.83,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
59,Bluff,NZ,39.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
60,Chuy,UY,46.09,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
61,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
62,Nikolskoye,RU,55.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
63,Nikel,RU,46.58,broken clouds,69.4128,30.222,Severnoe Siyanie
64,Porto Novo,BJ,78.76,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
65,Tasiilaq,GL,42.96,scattered clouds,65.6145,-37.6368,The Red House
66,Dalvik,IS,43.56,overcast clouds,65.9702,-18.5286,Dalvík Hostel
67,Barrow,US,33.82,mist,71.2906,-156.7887,King Eider Inn
68,Pacific Grove,US,89.55,clear sky,36.6177,-121.9166,Lovers Point Inn
69,Faanui,PF,80.38,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Ranong,TH,79.65,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
71,Marienburg,PL,57.11,clear sky,54.0359,19.0266,Hotel Centrum Malbork
72,Pevek,RU,43.61,broken clouds,69.7008,170.3133,Severnoye Zoloto
73,Jamestown,US,70.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
74,Kavieng,PG,81.64,few clouds,-2.5744,150.7967,Nusa Island Retreat
75,Talnakh,RU,51.21,clear sky,69.4865,88.3972,Talnakh Hotel
76,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
77,Tecoanapa,MX,85.59,broken clouds,16.5167,-98.75,Hotel Manglares
78,Qaanaaq,GL,31.05,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
79,Bandarbeyla,SO,80.92,broken clouds,9.4942,50.8122,JABIR HOTEL
81,Yelan,RU,63.72,few clouds,50.949,43.7378,Gostinitsa Na Sovetskoy
82,Dhidhdhoo,MV,82.53,overcast clouds,6.8833,73.1,Dhidhoo beach
84,Port Hardy,CA,58.24,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
85,Lebu,CL,51.58,clear sky,-37.6167,-73.65,Hostal Las Lilas
86,Hualmay,PE,67.24,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
87,Dwarka,IN,82.69,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
88,Saint Michael,US,80.85,overcast clouds,45.21,-93.665,"Country Inn & Suites by Radisson, Albertville, MN"
89,Thompson,CA,74.61,few clouds,55.7435,-97.8558,Burntwood Hotel
90,Dunedin,NZ,41.81,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
91,Mataura,NZ,39.47,light rain,-46.1927,168.8643,Ellie's Villa
93,Bethel,US,78.94,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
94,Iqaluit,CA,54.7,clear sky,63.7506,-68.5145,Frobisher Inn
95,Mar Del Plata,AR,46.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
96,Abalak,RU,52.0,overcast clouds,58.1286,68.5944,Туристический комплекс Абалак
98,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
99,Manaure,CO,90.16,broken clouds,11.7751,-72.4445,Hotel Palaaima
100,Moron,AR,50.97,clear sky,-34.6534,-58.6198,Hotel Morón
101,Kodiak,US,60.31,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
102,Charagua,BO,61.9,overcast clouds,-19.8,-63.2167,Hotel
103,Mao,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
104,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
105,Saint-Georges,GD,80.33,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
106,Lompoc,US,89.58,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
107,Kalabo,ZM,60.89,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
109,Alpena,US,70.12,broken clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
110,Zhigansk,RU,51.75,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
111,Tuktoyaktuk,CA,40.21,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
112,Beterou,BJ,74.37,light rain,9.1992,2.2586,Monastère de Kokoubou
113,Meulaboh,ID,74.32,broken clouds,4.1363,96.1285,Kost Pria
114,Ilulissat,GL,37.42,broken clouds,69.2167,-51.1,Hotel Arctic
115,Alice Springs,AU,35.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
116,Butaritari,KI,82.45,light rain,3.0707,172.7902,Isles Sunset Lodge
117,Jacmel,HT,87.64,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
118,Pisco,PE,66.25,haze,-13.7,-76.2167,Hotel San Isidro Oficial
119,Punta Arenas,CL,48.31,scattered clouds,-53.15,-70.9167,Hotel Hain
120,New Norfolk,AU,43.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
121,Havelock,US,82.0,overcast clouds,34.8791,-76.9013,Sherwood Motel
122,Codrington,AU,52.27,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
123,Itoman,JP,80.98,heavy intensity rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
124,Lagoa,PT,60.6,light rain,39.05,-27.9833,Casa Das Faias
125,Taganak,PH,81.28,overcast clouds,6.0833,118.3,Taganak
126,Saint-Philippe,RE,65.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
127,Saint George,US,103.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
128,Nyurba,RU,53.24,scattered clouds,63.2842,118.3319,"Гостиница ""Comfort"""
129,Navolato,MX,98.64,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
130,Mayo,US,82.51,broken clouds,38.8876,-76.5119,Resorts Resource Group International
132,Tianmen,CN,73.54,overcast clouds,30.6516,113.1603,Tianmen Luyu Hotel
134,Vardo,NO,42.78,broken clouds,70.3705,31.1107,Vardø Hotel AS
135,Lorengau,PG,80.58,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
136,Dudinka,RU,51.62,few clouds,69.4058,86.1778,Hotel Viktoria
137,Turayf,SA,80.4,clear sky,31.6725,38.6637,Turaif
138,Bardiyah,LY,88.05,scattered clouds,31.7561,25.0865,بورتو بردية
139,Alofi,NU,78.62,overcast clouds,-19.0595,-169.9187,Taloa Heights
140,Flinders,AU,49.37,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
141,Roverud,NO,57.45,clear sky,60.2521,12.055,Glomma House
142,Verkhovye,RU,63.09,overcast clouds,52.8119,37.2425,Kazachiy Stan
143,Aqtobe,KZ,53.69,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
144,Kapit,MY,73.22,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
145,Narsaq,GL,59.22,overcast clouds,60.9167,-46.05,Sleep In Narsaq
146,Pakpattan,PK,97.03,clear sky,30.341,73.3866,FARAN HOTEL
147,Umba,RU,48.78,overcast clouds,66.6871,34.3429,Cedar Grass Beloye More
148,Kudahuvadhoo,MV,82.69,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
149,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
150,Mugla,TR,62.56,overcast clouds,37.2303,28.3557,Petek Hotel
151,Severo-Kurilsk,RU,43.83,overcast clouds,50.6789,156.125,Kak Doma
152,Nadym,RU,57.42,overcast clouds,65.5333,72.5167,Apartment on Zvereva
153,Kununurra,AU,62.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
154,Pangnirtung,CA,34.34,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
155,Carnarvon,AU,69.48,clear sky,-24.8667,113.6333,Hospitality Carnarvon
156,Shingu,JP,67.66,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
157,Xining,CN,53.38,broken clouds,36.6167,101.7667,Super Leisure Hotel
158,Hay River,CA,65.53,broken clouds,60.8156,-115.7999,Ptarmigan Inn
159,Sarkand,KZ,70.48,overcast clouds,45.41,79.9186,Гостиница Сарканд
160,Hermanus,ZA,64.22,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
161,Nouakchott,MR,73.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
162,Foso,GH,73.06,overcast clouds,5.7012,-1.2866,Pristina Cottage
163,Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
164,Palaikastron,GR,73.54,clear sky,35.2,26.25,Marina Village
165,Timizart,DZ,62.19,clear sky,36.8,4.2667,yefssah restaurant
166,Asau,RO,59.95,broken clouds,46.4333,26.4,Casa Mika Ciobanus
167,Mount Isa,AU,49.77,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
169,Saint-Joseph,RE,64.78,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
170,Espinosa,BR,74.26,clear sky,-14.9261,-42.8192,Hotel Vilma
171,Tura,IN,72.25,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
172,Micasasa,RO,66.42,scattered clouds,46.0833,24.1167,Pfarrhof Kleinschelken
173,Mendeleyevo,RU,65.88,clear sky,56.0333,37.2167,Park Otel' Morozovka
174,Cidreira,BR,52.68,scattered clouds,-30.1811,-50.2056,Hotel Castelo
175,Waddan,LY,76.5,clear sky,29.1614,16.139,محل الشريف محمد العايب
176,Burns Lake,CA,63.79,broken clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
177,Puerto Parra,CO,91.2,broken clouds,6.6515,-74.0573,Casa Hotel Villa Johana
178,Port Macquarie,AU,45.48,clear sky,-31.4333,152.9167,Rydges Port Macquarie
179,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
180,Waingapu,ID,78.03,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
181,East London,ZA,61.84,clear sky,-33.0153,27.9116,Tu Casa
182,Guerrero Negro,MX,79.18,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
183,Katsuura,JP,69.24,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
184,Karhal,IN,96.06,clear sky,27.0003,78.9414,Ganga Bhavan
185,Comodoro Rivadavia,AR,46.26,clear sky,-45.8667,-67.5,Austral Hotel
186,Stephenville,US,101.77,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
187,Haines Junction,CA,53.82,light rain,60.7522,-137.5108,Parkside Inn
188,Berlevag,NO,42.8,scattered clouds,70.8578,29.0864,Kvitbrakka
189,Sipe Sipe,BO,61.29,overcast clouds,-17.45,-66.3833,Cabañas Oasis Marino
191,Cabo San Lucas,MX,90.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
192,Yerofey Pavlovich,RU,56.12,clear sky,53.9667,121.9667,lounges and warm parking
193,Karaman,TR,66.43,clear sky,37.0833,33.25,Gokce Koyu Muhtarligi
194,Conceicao Do Araguaia,BR,82.47,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
195,Upernavik,GL,31.78,few clouds,72.7868,-56.1549,Café de Upernavik
197,Kaitangata,NZ,36.1,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
198,Esperance,AU,55.78,overcast clouds,-33.8667,121.9,Hospitality Esperance
199,Port Alfred,ZA,62.96,clear sky,-33.5906,26.891,The Halyards Hotel
200,Tucuman,AR,55.4,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
201,Yadgir,IN,81.81,overcast clouds,16.7667,77.1333,"SLV Hotel,Yadgir"
202,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
203,Birsk,RU,55.11,light rain,55.4211,55.5428,Baba Yaga
204,Shitanjing,CN,57.69,broken clouds,39.2342,106.3439,Yingbin Hotel
205,Marsh Harbour,BS,83.43,moderate rain,26.5412,-77.0636,Abaco Beach Resort
206,Hami,CN,72.43,scattered clouds,42.8,93.45,Laoyutang Resort
207,Yara,CU,88.63,broken clouds,20.2753,-76.9533,Casa de Margarita Puebla Lorente
208,Cap-Chat,CA,52.66,overcast clouds,49.1001,-66.6821,Motel Restaurant Nanook Inc.
209,Huarmey,PE,68.72,scattered clouds,-10.0681,-78.1522,Hotel Miramar
210,Katobu,ID,73.87,overcast clouds,-4.9408,122.5276,La Ode Husein
211,Kenai,US,65.03,few clouds,60.5544,-151.2583,Aspen Extended Stay Suites
212,Naze,JP,74.32,light rain,28.3667,129.4833,Shishime Hotel
213,Morant Bay,JM,89.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
214,Hithadhoo,MV,84.22,broken clouds,-0.6,73.0833,Scoop Guest House
215,Mackay,AU,43.68,broken clouds,-21.15,149.2,International Lodge Motel
216,Salinopolis,BR,80.69,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
217,Port Lincoln,AU,56.03,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
218,Rocha,UY,43.38,few clouds,-34.4833,-54.3333,Hotel Arrarte
219,Chicama,PE,61.34,few clouds,-7.8447,-79.1469,Balihai Bungalows
220,Chekhov,RU,64.29,scattered clouds,55.1431,37.4711,Domik v derevne
221,Narasannapeta,IN,85.89,overcast clouds,18.4167,84.05,AVK events and catering
222,Victoria,HK,80.65,overcast clouds,22.2855,114.1577,Mini Central
224,Indramayu,ID,79.84,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
225,Seoul,KR,63.84,overcast clouds,37.5683,126.9778,롯데호텔 서울
226,Dingle,PH,76.05,light rain,10.9995,122.6711,SEGAYA PROPERTY
227,Fort Nelson,CA,56.34,light rain,58.8053,-122.7002,The Fort Nelson Hotel
228,Nizwa,OM,92.57,clear sky,22.9333,57.5333,Orient Apartments
230,Komsomolskiy,UZ,74.21,few clouds,40.4272,71.7189,Ikathouse
231,Tobermory,CA,50.76,clear sky,45.2501,-81.6665,Escarpment Heights Motel
232,Vao,NC,72.34,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
233,Bandar-E Anzali,IR,69.62,clear sky,37.4727,49.4622,هتل بیاچ
234,Cape Town,ZA,66.11,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
235,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
236,Kleive,NO,58.71,broken clouds,62.7954,7.6359,Bytengens ferieoase
237,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
238,Angoche,MZ,69.26,clear sky,-16.2325,39.9086,Guest House HESADA
239,Luis Correia,BR,84.2,few clouds,-2.8792,-41.6669,Hotel Amarração
240,Port Elizabeth,ZA,61.32,clear sky,-33.918,25.5701,39 On Nile Guest House
241,Trencin,SK,61.97,clear sky,48.8333,18.25,Chata Timoradza
243,Kaeo,NZ,57.33,few clouds,-35.1,173.7833,Bushido Lodge
245,Amli,IN,83.05,overcast clouds,20.2833,73.0167,Hotel Soubhagya Inn
246,Pangkalanbuun,ID,73.85,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
247,Te Anau,NZ,37.69,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
248,Atar,MR,97.25,clear sky,20.5169,-13.0499,Oumou Elghoura
249,Borovoy,RU,61.88,clear sky,55.4333,86.0833,Tsimus
251,Buala,SB,81.12,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
253,Kimbe,PG,75.92,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
254,Visnes,NO,56.82,overcast clouds,59.3556,5.2242,Park Inn Haugesund Airport
255,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
256,Vila Franca Do Campo,PT,68.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
257,Yanai,JP,71.6,heavy intensity rain,33.9667,132.1167,Yanai City Hotel
258,Roald,NO,60.17,broken clouds,62.5833,6.1333,Flem Cabins
260,Byron Bay,AU,47.16,clear sky,-28.65,153.6167,Backpackers Inn
261,Simao,CN,65.53,overcast clouds,22.7886,100.9748,Changyu Hotel
262,Celestun,MX,84.81,clear sky,20.8667,-90.4,Posada Lilia
