City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pacifica,US,37.6138,-122.4869,99.23,64,20,25.32,few clouds
1,Opuwo,NA,-18.0607,13.84,60.15,40,0,7.72,clear sky
2,Castro,BR,-24.7911,-50.0119,55.94,93,100,4.23,overcast clouds
3,Ayan,RU,56.45,138.1667,43.12,91,97,0.89,overcast clouds
4,San Patricio,US,28.017,-97.5169,101.12,44,5,21.0,clear sky
5,San Quintin,MX,30.4833,-115.95,73.15,60,1,8.55,clear sky
6,Husavik,IS,66.0449,-17.3389,42.57,95,100,9.01,overcast clouds
7,Sola,VU,-13.8833,167.55,81.27,89,20,0.0,few clouds
8,Nome,US,64.5011,-165.4064,59.07,29,0,17.27,clear sky
9,Albany,US,42.6001,-73.9662,75.16,48,10,1.01,clear sky
10,Aklavik,CA,68.2191,-135.0107,49.89,57,100,5.06,overcast clouds
11,Khatanga,RU,71.9667,102.5,39.97,74,100,8.3,overcast clouds
12,Bangangte,CM,5.1409,10.5198,61.02,96,85,2.8,light rain
13,Tarauaca,BR,-8.1614,-70.7656,75.15,86,98,0.98,light rain
14,Bathsheba,BB,13.2167,-59.5167,77.61,94,75,16.11,broken clouds
15,Kapaa,US,22.0752,-159.319,80.58,70,0,12.66,clear sky
16,Norman Wells,CA,65.282,-126.8329,61.72,48,85,12.01,overcast clouds
17,Paysandu,UY,-32.3214,-58.0756,48.6,43,0,7.05,clear sky
18,Hobart,AU,-42.8794,147.3294,44.26,93,100,5.75,shower rain
19,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,100,13.8,overcast clouds
20,Busselton,AU,-33.65,115.3333,63.84,86,97,16.75,light rain
21,Okhotsk,RU,59.3833,143.3,40.96,95,100,6.96,overcast clouds
22,Atuona,PF,-9.8,-139.0333,77.61,71,24,15.48,few clouds
23,Soller,ES,39.7662,2.7152,74.86,80,0,1.99,clear sky
24,Gat,IL,31.61,34.7642,80.4,43,0,6.24,clear sky
25,Rikitea,PF,-23.1203,-134.9692,75.43,67,100,16.44,overcast clouds
26,Kruisfontein,ZA,-34.0033,24.7314,59.83,40,3,8.3,clear sky
27,Kloulklubed,PW,7.0419,134.2556,80.28,77,100,3.29,heavy intensity rain
28,Deputatskiy,RU,69.3,139.9,50.58,59,26,3.29,scattered clouds
29,Dikson,RU,73.5069,80.5464,35.02,84,91,7.72,overcast clouds
30,Berezna,UA,51.5716,31.7846,63.37,71,0,2.37,clear sky
31,Morondava,MG,-20.2833,44.2833,69.1,84,0,6.33,clear sky
32,La Romana,DO,18.4273,-68.9728,89.96,58,40,6.91,scattered clouds
33,Ushuaia,AR,-54.8,-68.3,46.06,57,20,20.71,few clouds
34,Brandon,US,27.9378,-82.2859,84.85,53,90,14.07,overcast clouds
35,Lisbon,PT,38.7167,-9.1333,74.14,60,20,23.0,few clouds
36,Bengkulu,ID,-3.8004,102.2655,74.19,88,96,2.28,overcast clouds
37,Rawson,AR,-43.3002,-65.1023,46.54,32,19,8.14,few clouds
38,Chukhloma,RU,58.7525,42.6825,51.42,96,17,5.26,few clouds
39,Vaini,TO,-21.2,-175.2,78.96,78,75,5.75,broken clouds
40,Balingasay,PH,16.3573,119.8564,81.86,80,94,6.58,overcast clouds
41,Sandwick,GB,60.0,-1.25,53.42,87,100,10.36,overcast clouds
42,Rawah,IQ,34.4816,41.9093,84.29,16,0,6.76,clear sky
43,Mount Gambier,AU,-37.8333,140.7667,51.4,63,100,10.31,overcast clouds
44,Zambrano,CO,9.7472,-74.8153,89.26,56,95,4.85,overcast clouds
45,Mazamitla,MX,19.9167,-103.0333,69.49,52,96,1.92,overcast clouds
46,Hilo,US,19.7297,-155.09,85.28,69,100,9.22,overcast clouds
47,Clyde River,CA,70.4692,-68.5914,35.13,79,79,9.42,broken clouds
48,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,89,0,16.11,clear sky
49,Geraldton,AU,-28.7667,114.6,63.01,88,40,8.05,scattered clouds
50,Minab,IR,27.1467,57.0801,88.63,58,0,3.31,clear sky
51,Santa Rosa,PH,14.3122,121.1114,82.11,77,78,3.2,broken clouds
52,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,2,8.01,clear sky
53,Sangar,RU,63.9242,127.4739,53.35,86,12,2.19,few clouds
54,Uruzgan,AF,32.8333,66.0,71.1,13,11,6.69,few clouds
55,Goure,NE,13.9835,10.2704,88.92,31,26,7.85,scattered clouds
56,Portland,US,45.5234,-122.6762,66.61,89,100,10.36,moderate rain
57,Bredasdorp,ZA,-34.5322,20.0403,58.57,47,62,4.99,broken clouds
58,Saint Anthony,US,45.0205,-93.218,80.83,32,75,10.36,broken clouds
59,Bluff,NZ,-46.6,168.3333,39.79,77,100,7.11,overcast clouds
60,Chuy,UY,-33.6971,-53.4616,46.09,61,32,13.76,scattered clouds
61,Mahebourg,MU,-20.4081,57.7,69.26,79,56,13.69,light rain
62,Nikolskoye,RU,59.7035,30.7861,55.29,82,100,2.86,overcast clouds
63,Nikel,RU,69.4128,30.222,46.58,74,60,4.36,broken clouds
64,Porto Novo,BJ,6.4965,2.6036,78.76,81,100,8.5,overcast clouds
65,Tasiilaq,GL,65.6145,-37.6368,42.96,69,42,5.12,scattered clouds
66,Dalvik,IS,65.9702,-18.5286,43.56,93,100,5.06,overcast clouds
67,Barrow,US,71.2906,-156.7887,33.82,86,100,11.5,mist
68,Pacific Grove,US,36.6177,-121.9166,89.55,54,0,5.75,clear sky
69,Faanui,PF,-16.4833,-151.75,80.38,73,12,16.15,few clouds
70,Ranong,TH,9.9658,98.6348,79.65,85,79,7.78,broken clouds
